id,value
Topic0,
Topic0.nachos, 0.13253953
Topic0.burger, 0.08205645
Topic0.burgers, 0.08202604
Topic0.philly, 0.047437456
Topic0.joint, 0.04000179
Topic0.jars, 0.028862128
Topic0.mason, 0.021195607
Topic0.miss, 0.020870816
Topic0.blast, 0.01856044
Topic0.hit, 0.016309083
Topic0.fair, 0.014764253
Topic0.yay, 0.013675122
Topic0.tan, 0.012449643
Topic0.winner, 0.012281485
Topic0.hall, 0.012187234
Topic1,
Topic1.texas, 0.035524238
Topic1.terrific, 0.03297239
Topic1.teriyaki, 0.024137108
Topic1.view, 0.019751744
Topic1.grille, 0.015972275
Topic1.event, 0.015556549
Topic1.lick, 0.015132213
Topic1.row, 0.013985767
Topic1.superb, 0.013318865
Topic1.services, 0.012139276
Topic1.unlimited, 0.010282282
Topic1.helping, 0.009362766
Topic1.job, 0.009222031
Topic1.gas, 0.009149353
Topic1.patio, 0.008489306
Topic2,
Topic2.tri, 0.025273059
Topic2.margaritas, 0.02053795
Topic2.steamed, 0.013449293
Topic2.creamed, 0.01302477
Topic2.sandwich, 0.011292939
Topic2.broth, 0.010381983
Topic2.seafood, 0.010144504
Topic2.yelpers, 0.009673865
Topic2.fellow, 0.009621682
Topic2.tip, 0.009334982
Topic2.rib, 0.008268932
Topic2.short, 0.0077205338
Topic2.touch, 0.0076400153
Topic2.vegetables, 0.0073368964
Topic2.fried, 0.007193858
Topic3,
Topic3.brunch, 0.04945421
Topic3.rustic, 0.03890917
Topic3.garbage, 0.037537538
Topic3.entertainment, 0.033933133
Topic3.polite, 0.030613802
Topic3.drove, 0.029262606
Topic3.blend, 0.028972639
Topic3.pictures, 0.023884827
Topic3.sunday, 0.023785258
Topic3.unfortunate, 0.022588836
Topic3.chipotle, 0.022577686
Topic3.blows, 0.02121507
Topic3.lively, 0.020637644
Topic3.hesitate, 0.02062144
Topic3.salsa, 0.018488318
Topic4,
Topic4.bbq, 0.022043524
Topic4.ribs, 0.017342988
Topic4.good, 0.012175937
Topic4.sauce, 0.01188586
Topic4.meat, 0.011712116
Topic4.pork, 0.010758067
Topic4.chicken, 0.009099676
Topic4.like, 0.007927411
Topic4.sides, 0.00786227
Topic4.place, 0.007664675
Topic4.just, 0.0073787677
Topic4.great, 0.006816488
Topic4.pulled, 0.006488423
Topic4.really, 0.0064772763
Topic4.flavor, 0.0063465512
Topic5,
Topic5.ranch, 0.008218119
Topic5.fries, 0.007874862
Topic5.place, 0.0068862694
Topic5.oz, 0.0067891097
Topic5.14, 0.006658478
Topic5.burger, 0.006383429
